Minerals,SiO2,Al2O3,Fe2O3,Na2O,CaO,MgO,FeO,K2O,P2O5,MnO,Mn2O3,TiO2,H2O,CO2,F,Cl,Li2O,BeO,B2O3,SnO2,C2O3,WO3,CuO,Cu2O,PbO,ZnO,BaO,SrO,VO2,V2O3,V2O5,CrO,Cr2O3,NiO,CoO,SO2,As2O3,As2O5,SO3,S2O5,Sb2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,REE2O3,Sc2O3,Y2O3,HfO2,ZrO2,ThO2,UO2,UO3,U2O3,Ga2O3,Ta2O5,Nb2O5
Iimoriite-(Y),18.21,0,0,0,0,0,0,0,0,0,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.45,0,0,0,0,0,0,0,0,0
Bastnasite-(Y),0,0,0,0,0,0,0,0,0,0,0,0,0,26.21,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.24,0,0,0,0,0,0,0,0,0
Thalenite-(Y),34.14,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.15,0,0,0,0,0,0,0,0,0
Fluorthalenite-(Y),34.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.91,0,0,0,0,0,0,0,0,0
Xenotime-(Y),0,0,0,0,0,0,0,0,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4,0,0,0,0,0,0,0,0,0
Rowlandite-(Y),30.59,0,0,0,0,0,9.14,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.47,0,0,0,0,0,0,0,0,0
Tengerite-(Y),0,0,0,0,0,0,0,0,0,0,0,0,11.18,32.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.05,0,0,0,0,0,0,0,0,0
Wakefieldite-(Y),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.39,0,0,0,0,0,0,0,0,0
Horvathite-(Y),0,0,0,14.76,0,0,0,0,0,0,0,0,0,20.97,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.79,0,0,0,0,0,0,0,0,0
Britholite-(Y),21.03,0,0,0,17.45,0,0,0,8.28,0,0,0,1.05,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.69,0,0,0,0,0,0,0,0,0
Churchite-(Y),0,0,0,0,0,0,0,0,32.27,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.34,0,0,0,0,0,0,0,0,0
Minasgeraisite-(Y),26.58,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0
Moydite-(Y),0,0,0,0,0,0,0,0,0,0,0,0,15.82,19.32,0,0,0,0,15.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.57,0,0,0,0,0,0,0,0,0
Gadolinite-(Y),25.69,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.27,0,0,0,0,0,0,0,0,0
Lokkaite-(Y),0,0,0,0,5.73,0,0,0,0,0,0,0,16.58,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.18,0,0,0,0,0,0,0,0,0
Fergusonite-(Y),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.93,0,0,0,0,0,0,0,0,54.07
Fergusonite-beta-(Y),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.93,0,0,0,0,0,0,0,0,54.07
Keiviite-(Y),30.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.39,0,0,0,43.64,0,0,0,0,0,0,0,0,0
Synchysite-(Y),0,0,0,0,20.92,0,0,0,0,0,0,0,0,32.84,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.13,0,0,0,0,0,0,0,0,0
Yttrialite-(Y),28.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.56,0,0,31.62,0,0,0,0,0,0
Kimuraite-(Y),0,0,0,0,9.91,0,0,0,0,0,0,0,19.1,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.89,0,0,0,0,0,0,0,0,0
Gagarinite-(Y),0,0,0,10.66,19.29,0,0,0,0,0,0,0,0,0,29.41,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.85,0,0,0,0,0,0,0,0,0
Tveitite-(Y),0,0,0,0,39.88,0,0,0,0,0,0,0,0,0,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.41,0,0,0,0,0,0,0,0,0
Formanite-(Y),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.82,0,0,0,0,0,0,0,66.18,0
Tombarthite-(Y),16.15,0,0,0,6.03,0,0,0,0,0,0,0,22.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.57,0,33.37,0,0,0,0,0,0,0,0,0
Kobeite-(Y),0,0,0,0,0,0,0,0,0,0,0,37.55,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.84,0,0,0,8.46,0,0,0,0,20.83
Ashcroftine-(Y),44.15,0,0,4.07,2.94,0,0,6.18,0,0,0,0,3.78,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,0,0,0,0,0,0
Shomiokite-(Y),0,0,0,23.72,0,0,0,0,0,0,0,0,13.79,33.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.81,0,0,0,0,0,0,0,0,0
IMA2008-069,0,0,0,20.85,0,0,0,0,0,0,0,0,24.24,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.32,0,0,0,0,0,0,0,0,0
Yttrotantalite-(Y),0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.03,0,0,0,8.55,0,0,0,48.98,12.63
Aeschynite-(Y),0,0,0,0,6.12,0,2.61,0,0,0,0,50.84,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.64,0,0,0,0,0,0,0,0,12.08
Yttrocolumbite-(Y),0,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0,0,0,18.21,0,0,0,18.62,33.61
Okanoganite-(Y),15.15,0,2.22,1.9,5.58,0,0,0,0.85,0,0,0.57,1.35,0,7.17,0,0.02,0.01,3.85,0,0,0,0,0,0,0,0.06,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,0,19.18,0,0,1.89,0,0.11,0,0,0,0
Yttrocrasite-(Y),0,0,2.68,0,5.64,0,0,0,0,0,0,50.92,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,0,0,8.86,9.06,0,0,0,0,0
Reederite-(Y),0,0,0,38.83,0,0,0,0,0,0,0,0,0,33.08,1.59,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.86,0,0,0,0,0,0,0,0,0
Vyuntspakhkite-(Y),26.53,13.81,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07,0,14.71,0,17.96,0,0,0,0,0,0,0,0,0
Yttropyrochlore-(Y),0,0,1.75,1.36,2.46,0,0,0,0,0,0,3.5,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,11.84,0,0,0,24.23,34.98
Paraniite-(Y),0,0,0,0,13.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0,0,0,0,0,0,0,0,0
Donnayite-(Y),0,0,0,3.74,6.76,0,0,0,0,0,0,0,6.52,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.62,0,0,0,0,0,0,0,0,0
Sazykinaite-(Y),41.94,0,0,18.02,0,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,14.33,0,0,0,0,0,0,0
Mackelveyite-(Y),0,0,0,3.44,6.23,0,0,0,0,0,0,0,12.01,14.67,0,0,0,0,0,0,0,0,0,0,0,0,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0
Hingganite-(Yb),26.49,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.43,0,0,0,12.44,0,0,0,0,0,0,0,0,0
Murataite,0.3,0,3.99,6.2,0.84,0,0,0,0,0.71,0,38.33,0.54,0,7.12,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,12.42,0,0,0,0,0,0,0,0,9.96
Monteregianite-(Y),60.28,0.65,0,9.25,0.71,0,0,5.38,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,0,0,0,0,0,0,0,0,0
Keiviite-(Yb),25.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.59,0,0,0,11.96,0,0,0,0,0,0,0,0,0
Scheteligite,0,0,0,0,14.53,0,0,0,0,3.34,0,22.58,1.06,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,0,0,26.02,6.26
Yttrotungstite-(Y),0.4,0.85,0.4,0,0.37,0.13,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,71.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,10.38,0,0,0,0,0,0,0,0,0
Merrillite-(Y),0,0,0,0,44.32,3.54,0,0,43.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0
Agardite-(Y),0,0,0,0,1.36,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0
Uranopolycrase,0,0,0,0,0,0,0,0,0,0,0,28.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,6.35,38.97,0,0,0,5.31,12.79
Ishikawaite,0,0,0,0,1.9,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,27.51,0,0,0,18.76,33.85
Samarskite-(Y),0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,7.53,0,0,0,18.01,0,0,0,14.74,35.46
IMA2009-008,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,65.05,0,0,0,0,0
Dusmatovite,61.29,0,0,0.79,0,0,0,6.41,0,0,8.05,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,0,2.1,0,0,0,0,0,0,0
Saryarkite-(Y),14.29,27.56,0,0,6.06,0,0,0,11.51,0,0,0,17.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,4.88,0,0,8.57,0,0,0,0,0,0
Plumbopyrochlore,2.48,0,0,0,1.16,0,2.97,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,36.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,5.91,0,0,4.56,38.44
Tranquillityite,14.54,0,0,0,0,0,46.35,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,14.91,0,0,0,0,0,0,0
Dessauite,0,0,21.5,0,0,0,0,0,0,0,0,64.54,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,4.36,0,0,0,0,0
Goudeyite,0,3.57,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,47.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0
Hiortdahlite,32.31,0,0,7.5,30.16,0,0,0,0,0,0,2.15,0.48,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,19.88,0,0,0,0,0,0,0
Zalesiite,0,0,0,0,4.46,0,0,0,0,0,0,0,11.65,0,0,0,0,0,0,0,0,0,47.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0
Stornesite-(Y),0.02,0,0,5.06,5.69,23.27,15.62,0,48.34,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,1.44,0,0,0,0.02,0,0,0,0,0
Bobtraillite,39.6,0,0,5.49,1.08,0,0,0,0,0,0,0,5.13,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0.39,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.47,24.75,0,0,0,0,0,0,1.28
Ferrokentbrooksite,46.77,0.11,0,12.51,8.36,0,5.31,0.47,0,4.06,0,0.1,0.33,0,0.89,0.98,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0.59,0.2,11.7,0,0,0,0,0,0.14,2.63
Zirconolite-3O,0,0,6.21,0,13.09,0,1.86,0,0,0,0,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,35.15,4.11,0,0,0,0,0,17.23
Grenmarite,30.81,0,0,15.93,1.87,0,2.12,0,0,4.36,4.65,4.61,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,32.69,0,0,0,0,0,0,0
Tassieite,0,0,11.62,1.95,11.51,10.93,14.89,0,44.43,0.37,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.24,0,0,0,0,0,0,0,0,0
Xenotime-(Yb),0,0,0,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.52,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanite,0,0,0,0,0,0,8.76,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,23.51,0,0,0,23.09,37.03
Calciobetafite,0,0,0,0,21.33,0,1.82,0,0,0,0,16.21,0.69,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,6.7,6.85,0,0,0,0,40.45
Dualite,51.42,0.2,0,17.8,8.05,0,1.05,0.08,0,2.59,0,4.41,1.39,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0.26,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,5.4,0,0,0,0,0,0,1.94
Hainite,32.19,0,0,7.45,32.74,0,1.23,0,0,2.44,0,8.23,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,6.77,0,0,0,0,0,0,0
Plumbobetafite,0,0,0,0.73,2.63,0,0,0,0,0,0,24.38,1.27,0,1.78,0,0,0,0,0,0,10.89,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,13.43,0,0,0,0,12.48
Rengeite,23.17,0,0,0,0.53,0,0,0,0,0,0,30.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,9.27,0,0,0,0,0,0,0
Titanite,30.38,5.16,2.02,0,26.94,0,0,0,0,0,0,30.29,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
Zircon,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,5.53,58.27,0,0,0,0,0,0,0
